Campo,Conteúdo,ORD,Tam.,Tipo
REGISTRO-R1,CONSTANTE “1”,1,1,NUM
CONSULTA-R1,FORNECIDO PELA ENTIDADE,2,3,NUM
NOME-R1,"NOME COMPLETO USAR APENAS CARACTERES ALFABÉTICOS, SEM ACENTUAÇÃO SEM O “Ç” QUE DEVERÁ SER SUBSTITUÍDO POR “C”).",3,50,ALF
NASCIMENTO-R1,FORMATO DDMMAAAA,4,8,NUM
PESSOA-R1,“F” CPF “J” CNPJ,5,1,ALF
CGCCPF-R1,NÚMERO DO CPF,6,14,NUM
RG-R1,NÚMERO DO RG,7,11,NUM
UF-R1,UF DO RG,8,2,ALF
DDD-R1,DDD DO FONE DO CLIENTE,9,4,NUM
FONE-R1,FONE DO CLIENTE,10,9,NUM
BRANCOS-R1,CONSTANTE BRANCOS,11,19,ALF
NUMS-R1,NÚMERO DE SEQUÊNCIA DOS REGISTROS,12,6,NUM
